date,name,continent,confirm,suspect,dead,heal
2020-05-24,美国,北美洲,1666828,0,98683,446914
2020-05-24,巴西,南美洲,347398,0,22013,142587
2020-05-24,俄罗斯,欧洲,335882,0,3388,107936
2020-05-24,西班牙,欧洲,281904,0,28628,196958
2020-05-24,英国,欧洲,258504,0,36757,1142
2020-05-24,意大利,欧洲,229327,0,32735,138840
2020-05-24,法国,欧洲,182036,0,28218,63988
2020-05-24,德国,欧洲,179986,0,8261,159716
2020-05-24,土耳其,亚洲,155686,0,4308,117602
2020-05-24,伊朗,亚洲,133521,0,7359,104072
2020-05-24,印度,亚洲,131920,0,3869,54441
2020-05-24,秘鲁,南美洲,115754,0,3373,47915
2020-05-24,加拿大,北美洲,85151,0,6466,43318
2020-05-24,沙特阿拉伯,亚洲,70161,0,379,41236
2020-05-24,墨西哥,北美洲,65856,0,7179,44424
2020-05-24,智利,南美洲,65393,0,673,26546
2020-05-24,比利时,欧洲,56810,0,9237,15155
2020-05-24,巴基斯坦,亚洲,54601,0,1133,17198
2020-05-24,荷兰,欧洲,45265,0,5830,174
2020-05-24,卡塔尔,亚洲,42213,0,21,8513
2020-05-24,厄瓜多尔,南美洲,36258,0,3096,3557
2020-05-24,白俄罗斯,欧洲,35244,0,194,13528
2020-05-24,瑞典,欧洲,33188,0,3992,4971
2020-05-24,孟加拉,亚洲,32078,0,452,6486
2020-05-24,新加坡,亚洲,31068,0,23,13882
2020-05-24,瑞士,欧洲,30725,0,1905,28000
2020-05-24,葡萄牙,欧洲,30471,0,1302,7705
2020-05-24,阿联酋,亚洲,28704,0,244,14495
2020-05-24,爱尔兰,欧洲,24582,0,1604,21060
2020-05-24,印度尼西亚,亚洲,21745,0,1351,5249
2020-05-24,南非,非洲,21343,0,407,10104
2020-05-24,波兰,欧洲,20931,0,993,8977
2020-05-24,乌克兰,欧洲,20580,0,605,6929
2020-05-24,科威特,亚洲,20464,0,148,5747
2020-05-24,哥伦比亚,南美洲,20177,0,705,4718
2020-05-24,罗马尼亚,欧洲,17857,0,1176,11187
2020-05-24,以色列,亚洲,16712,0,279,14090
2020-05-24,日本本土,亚洲,16536,0,808,13244
2020-05-24,埃及,非洲,16513,0,735,4628
2020-05-24,奥地利,欧洲,16486,0,639,15037
2020-05-24,多米尼加,北美洲,14422,0,458,7854
2020-05-24,菲律宾,亚洲,13777,0,863,3177
2020-05-24,丹麦,欧洲,11487,0,561,10034
2020-05-24,阿根廷,南美洲,11353,0,445,3530
2020-05-24,韩国,亚洲,11190,0,266,10213
