,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2019-12-01,中国,CN,,,,,1,0,0,0
1,2019-12-01,中国,CN,湖北省,420000,,,1,0,0,0
2,2019-12-01,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
3,2019-12-02,中国,CN,,,,,1,0,0,0
4,2019-12-02,中国,CN,湖北省,420000,,,1,0,0,0
5,2019-12-02,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
6,2019-12-03,中国,CN,,,,,1,0,0,0
7,2019-12-03,中国,CN,湖北省,420000,,,1,0,0,0
8,2019-12-03,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
9,2019-12-04,中国,CN,,,,,1,0,0,0
10,2019-12-04,中国,CN,湖北省,420000,,,1,0,0,0
11,2019-12-04,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
12,2019-12-05,中国,CN,,,,,1,0,0,0
13,2019-12-05,中国,CN,湖北省,420000,,,1,0,0,0
14,2019-12-05,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
15,2019-12-06,中国,CN,,,,,1,0,0,0
16,2019-12-06,中国,CN,湖北省,420000,,,1,0,0,0
17,2019-12-06,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
18,2019-12-07,中国,CN,,,,,1,0,0,0
19,2019-12-07,中国,CN,湖北省,420000,,,1,0,0,0
20,2019-12-07,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
21,2019-12-08,中国,CN,,,,,1,0,0,0
22,2019-12-08,中国,CN,湖北省,420000,,,1,0,0,0
23,2019-12-08,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
24,2019-12-09,中国,CN,,,,,1,0,0,0
25,2019-12-09,中国,CN,湖北省,420000,,,1,0,0,0
26,2019-12-09,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
27,2019-12-10,中国,CN,,,,,1,0,0,0
28,2019-12-10,中国,CN,湖北省,420000,,,1,0,0,0
29,2019-12-10,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
30,2019-12-11,中国,CN,,,,,4,0,0,0
31,2019-12-11,中国,CN,湖北省,420000,,,4,0,0,0
32,2019-12-11,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
33,2019-12-12,中国,CN,,,,,4,0,0,0
34,2019-12-12,中国,CN,湖北省,420000,,,4,0,0,0
35,2019-12-12,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
36,2019-12-13,中国,CN,,,,,4,0,0,0
37,2019-12-13,中国,CN,湖北省,420000,,,4,0,0,0
38,2019-12-13,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
39,2019-12-14,中国,CN,,,,,4,0,0,0
40,2019-12-14,中国,CN,湖北省,420000,,,4,0,0,0
41,2019-12-14,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
42,2019-12-15,中国,CN,,,,,6,0,0,0
43,2019-12-15,中国,CN,湖北省,420000,,,6,0,0,0
44,2019-12-15,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
45,2019-12-16,中国,CN,,,,,6,0,0,0
46,2019-12-16,中国,CN,湖北省,420000,,,6,0,0,0
47,2019-12-16,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
48,2019-12-17,中国,CN,,,,,7,0,0,0
49,2019-12-17,中国,CN,湖北省,420000,,,7,0,0,0
50,2019-12-17,中国,CN,湖北省,420000,武汉市,420100,7,0,0,0
51,2019-12-18,中国,CN,,,,,8,0,0,0
52,2019-12-18,中国,CN,湖北省,420000,,,8,0,0,0
53,2019-12-18,中国,CN,湖北省,420000,武汉市,420100,8,0,0,0
54,2019-12-19,中国,CN,,,,,9,0,0,0
55,2019-12-19,中国,CN,湖北省,420000,,,9,0,0,0
56,2019-12-19,中国,CN,湖北省,420000,武汉市,420100,9,0,0,0
57,2019-12-20,中国,CN,,,,,14,0,0,0
58,2019-12-20,中国,CN,湖北省,420000,,,14,0,0,0
59,2019-12-20,中国,CN,湖北省,420000,武汉市,420100,14,0,0,0
60,2019-12-21,中国,CN,,,,,18,0,0,0
61,2019-12-21,中国,CN,湖北省,420000,,,18,0,0,0
62,2019-12-21,中国,CN,湖北省,420000,武汉市,420100,18,0,0,0
63,2019-12-22,中国,CN,,,,,21,0,0,0
64,2019-12-22,中国,CN,湖北省,420000,,,21,0,0,0
65,2019-12-22,中国,CN,湖北省,420000,武汉市,420100,21,0,0,0
66,2019-12-23,中国,CN,,,,,29,0,0,0
67,2019-12-23,中国,CN,湖北省,420000,,,29,0,0,0
68,2019-12-23,中国,CN,湖北省,420000,武汉市,420100,29,0,0,0
69,2019-12-24,中国,CN,,,,,30,0,0,0
70,2019-12-24,中国,CN,湖北省,420000,,,30,0,0,0
71,2019-12-24,中国,CN,湖北省,420000,武汉市,420100,30,0,0,0
72,2019-12-25,中国,CN,,,,,33,0,0,0
73,2019-12-25,中国,CN,湖北省,420000,,,33,0,0,0
74,2019-12-25,中国,CN,湖北省,420000,武汉市,420100,33,0,0,0
75,2019-12-26,中国,CN,,,,,35,0,0,0
76,2019-12-26,中国,CN,湖北省,420000,,,35,0,0,0
77,2019-12-26,中国,CN,湖北省,420000,武汉市,420100,35,0,0,0
78,2019-12-27,中国,CN,,,,,37,0,0,0
79,2019-12-27,中国,CN,湖北省,420000,,,37,0,0,0
80,2019-12-27,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
81,2019-12-28,中国,CN,,,,,37,0,0,0
