name,type,value,date
"中国","CN","1","2019-12-10"
"中国","CN","4","2019-12-11"
"中国","CN","4","2019-12-12"
"中国","CN","4","2019-12-13"
"中国","CN","4","2019-12-14"
"中国","CN","6","2019-12-15"
"中国","CN","6","2019-12-16"
"中国","CN","7","2019-12-17"
"中国","CN","8","2019-12-18"
"中国","CN","9","2019-12-19"
"中国","CN","14","2019-12-20"
"中国","CN","18","2019-12-21"
"中国","CN","21","2019-12-22"
"中国","CN","29","2019-12-23"
"中国","CN","30","2019-12-24"
"中国","CN","33","2019-12-25"
"中国","CN","35","2019-12-26"
"中国","CN","37","2019-12-27"
"中国","CN","37","2019-12-28"
"中国","CN","37","2019-12-29"
"中国","CN","37","2019-12-30"
"中国","CN","40","2019-12-31"
"中国","CN","43","2020-01-01"
"中国","CN","44","2020-01-02"
"中国","CN","41","2020-01-03"
"中国","CN","41","2020-01-04"
"中国","CN","41","2020-01-05"
"中国","CN","41","2020-01-06"
"中国","CN","41","2020-01-07"
"中国","CN","41","2020-01-08"
"中国","CN","41","2020-01-09"
"中国","CN","41","2020-01-10"
"中国","CN","41","2020-01-11"
"中国","CN","41","2020-01-12"
"中国","CN","41","2020-01-13"
"中国","CN","41","2020-01-14"
"中国","CN","41","2020-01-15"
"中国","CN","45","2020-01-16"
"日本","JP","1","2020-01-16"
"泰国","TH","1","2020-01-16"
"中国","CN","62","2020-01-17"
"中国","CN","198","2020-01-18"
"中国","CN","275","2020-01-19"
"中国","CN","291","2020-01-20"
"日本","JP","1","2020-01-20"
"韩国","KR","1","2020-01-20"
"泰国","TH","2","2020-01-20"
"中国","CN","440","2020-01-21"
"日本","JP","1","2020-01-21"
"韩国","KR","1","2020-01-21"
"泰国","TH","3","2020-01-21"
"中国","CN","571","2020-01-22"
"日本","JP","1","2020-01-22"
"韩国","KR","1","2020-01-22"
"泰国","TH","3","2020-01-22"
"美国","US","1","2020-01-22"
"中国","CN","830","2020-01-23"
"日本","JP","1","2020-01-23"
"韩国","KR","1","2020-01-23"
"新加坡","SG","1","2020-01-23"
"泰国","TH","3","2020-01-23"
"美国","US","1","2020-01-23"
"越南","VN","2","2020-01-23"
"中国","CN","1287","2020-01-24"
"法国","FR","2","2020-01-24"
"日本","JP","2","2020-01-24"
"韩国","KR","2","2020-01-24"
"尼泊尔","NP","1","2020-01-24"
"新加坡","SG","3","2020-01-24"
"泰国","TH","4","2020-01-24"
"美国","US","2","2020-01-24"
"越南","VN","2","2020-01-24"
"澳大利亚","AU","1","2020-01-25"
"中国","CN","1975","2020-01-25"
"法国","FR","3","2020-01-25"
"日本","JP","2","2020-01-25"
"韩国","KR","2","2020-01-25"
"马来西亚","MY","3","2020-01-25"
"尼泊尔","NP","1","2020-01-25"
"新加坡","SG","3","2020-01-25"
"泰国","TH","4","2020-01-25"
"美国","US","2","2020-01-25"
"越南","VN","2","2020-01-25"
"澳大利亚","AU","4","2020-01-26"
"中国","CN","2744","2020-01-26"
"法国","FR","3","2020-01-26"
"日本","JP","3","2020-01-26"
"韩国","KR","3","2020-01-26"
"马来西亚","MY","3","2020-01-26"
"尼泊尔","NP","1","2020-01-26"
"新加坡","SG","4","2020-01-26"
"泰国","TH","7","2020-01-26"
"美国","US","3","2020-01-26"
"越南","VN","2","2020-01-26"
"澳大利亚","AU","5","2020-01-27"
"加拿大","CA","1","2020-01-27"
"中国","CN","4515","2020-01-27"
"法国","FR","3","2020-01-27"
"日本","JP","4","2020-01-27"
"韩国","KR","4","2020-01-27"
"马来西亚","MY","4","2020-01-27"
"尼泊尔","NP","1","2020-01-27"
"巴基斯坦","PK","0","2020-01-27"
"新加坡","SG","4","2020-01-27"
"泰国","TH","8","2020-01-27"
"美国","US","5","2020-01-27"
"越南","VN","2","2020-01-27"
"澳大利亚","AU","5","2020-01-28"
"加拿大","CA","2","2020-01-28"
"中国","CN","5974","2020-01-28"
"德国","DE","1","2020-01-28"
"法国","FR","3","2020-01-28"
"日本","JP","7","2020-01-28"
"韩国","KR","4","2020-01-28"
"斯里兰卡","LK","1","2020-01-28"
"马来西亚","MY","4","2020-01-28"
"尼泊尔","NP","1","2020-01-28"
"新加坡","SG","7","2020-01-28"
"泰国","TH","14","2020-01-28"
"美国","US","5","2020-01-28"
"越南","VN","2","2020-01-28"
"阿联酋","AE","4","2020-01-29"
"澳大利亚","AU","7","2020-01-29"
"加拿大","CA","2","2020-01-29"
"中国","CN","7711","2020-01-29"
"德国","DE","4","2020-01-29"
"法国","FR","4","2020-01-29"
"日本","JP","8","2020-01-29"
"韩国","KR","4","2020-01-29"
"斯里兰卡","LK","1","2020-01-29"
"马来西亚","MY","7","2020-01-29"
"尼泊尔","NP","1","2020-01-29"
"新加坡","SG","10","2020-01-29"
"泰国","TH","14","2020-01-29"
"美国","US","5","2020-01-29"
"越南","VN","2","2020-01-29"
"阿联酋","AE","4","2020-01-30"
"澳大利亚","AU","8","2020-01-30"
"加拿大","CA","3","2020-01-30"
"中国","CN","9692","2020-01-30"
"德国","DE","4","2020-01-30"
"芬兰","FI","1","2020-01-30"
"法国","FR","5","2020-01-30"
"印度","IN","1","2020-01-30"
"日本","JP","11","2020-01-30"
"韩国","KR","6","2020-01-30"
"斯里兰卡","LK","1","2020-01-30"
"马来西亚","MY","8","2020-01-30"
"尼泊尔","NP","1","2020-01-30"
"菲律宾","PH","1","2020-01-30"
"新加坡","SG","10","2020-01-30"
"泰国","TH","14","2020-01-30"
"美国","US","5","2020-01-30"
"越南","VN","2","2020-01-30"
"阿联酋","AE","4","2020-01-31"
"澳大利亚","AU","8","2020-01-31"
"加拿大","CA","3","2020-01-31"
"中国","CN","11791","2020-01-31"
"德国","DE","4","2020-01-31"
"芬兰","FI","1","2020-01-31"
"法国","FR","5","2020-01-31"
"印度","IN","1","2020-01-31"
"日本","JP","11","2020-01-31"
"韩国","KR","6","2020-01-31"
"斯里兰卡","LK","1","2020-01-31"
"马来西亚","MY","8","2020-01-31"
"尼泊尔","NP","1","2020-01-31"
"菲律宾","PH","1","2020-01-31"
"新加坡","SG","10","2020-01-31"
"泰国","TH","14","2020-01-31"
"美国","US","5","2020-01-31"
"越南","VN","2","2020-01-31"
"阿联酋","AE","4","2020-02-01"
"澳大利亚","AU","8","2020-02-01"
"加拿大","CA","3","2020-02-01"
"中国","CN","14380","2020-02-01"
"德国","DE","4","2020-02-01"
"芬兰","FI","1","2020-02-01"
"法国","FR","5","2020-02-01"
"印度","IN","1","2020-02-01"
"日本","JP","11","2020-02-01"
"韩国","KR","6","2020-02-01"
"斯里兰卡","LK","1","2020-02-01"
"马来西亚","MY","8","2020-02-01"
"尼泊尔","NP","1","2020-02-01"
"菲律宾","PH","1","2020-02-01"
"新加坡","SG","10","2020-02-01"
"泰国","TH","14","2020-02-01"
"美国","US","5","2020-02-01"
"越南","VN","2","2020-02-01"
"阿联酋","AE","4","2020-02-02"
"澳大利亚","AU","8","2020-02-02"
"加拿大","CA","3","2020-02-02"
"中国","CN","17205","2020-02-02"
"德国","DE","4","2020-02-02"
"芬兰","FI","1","2020-02-02"
"法国","FR","5","2020-02-02"
"印度","IN","1","2020-02-02"
"日本","JP","11","2020-02-02"
"韩国","KR","6","2020-02-02"
"斯里兰卡","LK","1","2020-02-02"
"马来西亚","MY","8","2020-02-02"
"尼泊尔","NP","1","2020-02-02"
"菲律宾","PH","1","2020-02-02"
"新加坡","SG","10","2020-02-02"
"泰国","TH","14","2020-02-02"
"美国","US","5","2020-02-02"
"越南","VN","2","2020-02-02"
"阿联酋","AE","4","2020-02-03"
"澳大利亚","AU","8","2020-02-03"
"加拿大","CA","3","2020-02-03"
"中国","CN","20438","2020-02-03"
"德国","DE","4","2020-02-03"
"芬兰","FI","1","2020-02-03"
"法国","FR","5","2020-02-03"
"印度","IN","1","2020-02-03"
"日本","JP","11","2020-02-03"
"韩国","KR","6","2020-02-03"
"斯里兰卡","LK","1","2020-02-03"
"马来西亚","MY","8","2020-02-03"
"尼泊尔","NP","1","2020-02-03"
"菲律宾","PH","1","2020-02-03"
"新加坡","SG","10","2020-02-03"
"泰国","TH","14","2020-02-03"
"美国","US","5","2020-02-03"
"越南","VN","2","2020-02-03"
"中国","CN","24324","2020-02-04"
"中国","CN","28018","2020-02-05"
"阿联酋","AE","5","2020-02-06"
"澳大利亚","AU","14","2020-02-06"
"比利时","BE","1","2020-02-06"
"加拿大","CA","5","2020-02-06"
"中国","CN","31161","2020-02-06"
"德国","DE","12","2020-02-06"
"西班牙","ES","1","2020-02-06"
"芬兰","FI","1","2020-02-06"
"法国","FR","6","2020-02-06"
"英国","GB","2","2020-02-06"
"印度","IN","3","2020-02-06"
"意大利","IT","2","2020-02-06"
"日本","JP","45","2020-02-06"
"柬埔寨","KH","1","2020-02-06"
"韩国","KR","24","2020-02-06"
"斯里兰卡","LK","1","2020-02-06"
"马来西亚","MY","14","2020-02-06"
"尼泊尔","NP","1","2020-02-06"
"菲律宾","PH","3","2020-02-06"
"俄罗斯","RU","2","2020-02-06"
"瑞典","SE","1","2020-02-06"
"新加坡","SG","28","2020-02-06"
"泰国","TH","25","2020-02-06"
"美国","US","12","2020-02-06"
"越南","VN","10","2020-02-06"
"阿联酋","AE","5","2020-02-07"
"澳大利亚","AU","15","2020-02-07"
"比利时","BE","1","2020-02-07"
"加拿大","CA","5","2020-02-07"
"中国","CN","34594","2020-02-07"
"德国","DE","13","2020-02-07"
"西班牙","ES","1","2020-02-07"
"芬兰","FI","1","2020-02-07"
"法国","FR","6","2020-02-07"
"英国","GB","3","2020-02-07"
"印度","IN","3","2020-02-07"
"意大利","IT","3","2020-02-07"
"日本","JP","86","2020-02-07"
"柬埔寨","KH","1","2020-02-07"
"韩国","KR","24","2020-02-07"
"斯里兰卡","LK","1","2020-02-07"
"马来西亚","MY","14","2020-02-07"
"尼泊尔","NP","1","2020-02-07"
"菲律宾","PH","3","2020-02-07"
"俄罗斯","RU","2","2020-02-07"
"瑞典","SE","1","2020-02-07"
"新加坡","SG","33","2020-02-07"
"泰国","TH","25","2020-02-07"
"美国","US","12","2020-02-07"
"越南","VN","12","2020-02-07"
"阿联酋","AE","7","2020-02-08"
"澳大利亚","AU","15","2020-02-08"
"比利时","BE","1","2020-02-08"
"加拿大","CA","5","2020-02-08"
"中国","CN","37162","2020-02-08"
"德国","DE","13","2020-02-08"
"西班牙","ES","1","2020-02-08"
"芬兰","FI","1","2020-02-08"
"法国","FR","11","2020-02-08"
"英国","GB","3","2020-02-08"
"印度","IN","3","2020-02-08"
"意大利","IT","3","2020-02-08"
"日本","JP","89","2020-02-08"
"柬埔寨","KH","1","2020-02-08"
"韩国","KR","24","2020-02-08"
"斯里兰卡","LK","1","2020-02-08"
"马来西亚","MY","16","2020-02-08"
"尼泊尔","NP","1","2020-02-08"
"菲律宾","PH","3","2020-02-08"
"俄罗斯","RU","2","2020-02-08"
"瑞典","SE","1","2020-02-08"
"新加坡","SG","33","2020-02-08"
"泰国","TH","32","2020-02-08"
"美国","US","12","2020-02-08"
"越南","VN","13","2020-02-08"
"阿联酋","AE","7","2020-02-09"
"澳大利亚","AU","15","2020-02-09"
"比利时","BE","1","2020-02-09"
"加拿大","CA","7","2020-02-09"
"中国","CN","40224","2020-02-09"
"德国","DE","14","2020-02-09"
"西班牙","ES","2","2020-02-09"
"芬兰","FI","1","2020-02-09"
"法国","FR","11","2020-02-09"
"英国","GB","4","2020-02-09"
"印度","IN","3","2020-02-09"
"意大利","IT","3","2020-02-09"
"日本","JP","89","2020-02-09"
"柬埔寨","KH","1","2020-02-09"
"韩国","KR","27","2020-02-09"
"斯里兰卡","LK","1","2020-02-09"
"马来西亚","MY","17","2020-02-09"
"尼泊尔","NP","1","2020-02-09"
"菲律宾","PH","3","2020-02-09"
"俄罗斯","RU","2","2020-02-09"
"瑞典","SE","1","2020-02-09"
"新加坡","SG","43","2020-02-09"
"泰国","TH","32","2020-02-09"
"美国","US","12","2020-02-09"
"越南","VN","14","2020-02-09"
"阿联酋","AE","7","2020-02-10"
"澳大利亚","AU","15","2020-02-10"
"比利时","BE","1","2020-02-10"
"加拿大","CA","7","2020-02-10"
"中国","CN","42708","2020-02-10"
"德国","DE","14","2020-02-10"
"西班牙","ES","2","2020-02-10"
"芬兰","FI","1","2020-02-10"
"法国","FR","11","2020-02-10"
"英国","GB","8","2020-02-10"
"印度","IN","3","2020-02-10"
"意大利","IT","3","2020-02-10"
"日本","JP","155","2020-02-10"
"柬埔寨","KH","1","2020-02-10"
"韩国","KR","27","2020-02-10"
"斯里兰卡","LK","1","2020-02-10"
"马来西亚","MY","18","2020-02-10"
"尼泊尔","NP","1","2020-02-10"
"菲律宾","PH","3","2020-02-10"
"俄罗斯","RU","2","2020-02-10"
"瑞典","SE","1","2020-02-10"
"新加坡","SG","45","2020-02-10"
"泰国","TH","32","2020-02-10"
"美国","US","12","2020-02-10"
"越南","VN","14","2020-02-10"
"阿联酋","AE","8","2020-02-11"
"澳大利亚","AU","15","2020-02-11"
"比利时","BE","1","2020-02-11"
"加拿大","CA","7","2020-02-11"
"中国","CN","44730","2020-02-11"
"德国","DE","14","2020-02-11"
"西班牙","ES","2","2020-02-11"
"芬兰","FI","1","2020-02-11"
"法国","FR","11","2020-02-11"
"英国","GB","8","2020-02-11"
"印度","IN","3","2020-02-11"
"意大利","IT","3","2020-02-11"
"日本","JP","163","2020-02-11"
"柬埔寨","KH","1","2020-02-11"
"韩国","KR","28","2020-02-11"
"斯里兰卡","LK","1","2020-02-11"
"马来西亚","MY","18","2020-02-11"
"尼泊尔","NP","1","2020-02-11"
"菲律宾","PH","3","2020-02-11"
"俄罗斯","RU","2","2020-02-11"
"瑞典","SE","1","2020-02-11"
"新加坡","SG","47","2020-02-11"
"泰国","TH","32","2020-02-11"
"美国","US","13","2020-02-11"
"越南","VN","15","2020-02-11"
"阿联酋","AE","8","2020-02-12"
"澳大利亚","AU","15","2020-02-12"
"比利时","BE","1","2020-02-12"
"加拿大","CA","7","2020-02-12"
"中国","CN","58839","2020-02-12"
"德国","DE","16","2020-02-12"
"西班牙","ES","2","2020-02-12"
"芬兰","FI","1","2020-02-12"
"法国","FR","11","2020-02-12"
"英国","GB","8","2020-02-12"
"印度","IN","3","2020-02-12"
"意大利","IT","3","2020-02-12"
"日本","JP","203","2020-02-12"
"柬埔寨","KH","1","2020-02-12"
"韩国","KR","28","2020-02-12"
"斯里兰卡","LK","1","2020-02-12"
"马来西亚","MY","18","2020-02-12"
"尼泊尔","NP","1","2020-02-12"
"菲律宾","PH","3","2020-02-12"
"俄罗斯","RU","2","2020-02-12"
"瑞典","SE","1","2020-02-12"
"新加坡","SG","50","2020-02-12"
"泰国","TH","33","2020-02-12"
"美国","US","13","2020-02-12"
"越南","VN","15","2020-02-12"
"阿联酋","AE","8","2020-02-13"
"澳大利亚","AU","15","2020-02-13"
"比利时","BE","1","2020-02-13"
"加拿大","CA","7","2020-02-13"
"中国","CN","63932","2020-02-13"
"德国","DE","16","2020-02-13"
"西班牙","ES","2","2020-02-13"
"芬兰","FI","1","2020-02-13"
"法国","FR","11","2020-02-13"
"英国","GB","9","2020-02-13"
"印度","IN","3","2020-02-13"
"意大利","IT","3","2020-02-13"
"日本","JP","251","2020-02-13"
"柬埔寨","KH","1","2020-02-13"
"韩国","KR","28","2020-02-13"
"斯里兰卡","LK","1","2020-02-13"
"马来西亚","MY","19","2020-02-13"
"尼泊尔","NP","1","2020-02-13"
"菲律宾","PH","3","2020-02-13"
"俄罗斯","RU","2","2020-02-13"
"瑞典","SE","1","2020-02-13"
"新加坡","SG","58","2020-02-13"
"泰国","TH","33","2020-02-13"
"美国","US","14","2020-02-13"
"越南","VN","15","2020-02-13"
"阿联酋","AE","8","2020-02-14"
"澳大利亚","AU","15","2020-02-14"
"比利时","BE","1","2020-02-14"
"加拿大","CA","7","2020-02-14"
"中国","CN","66575","2020-02-14"
"德国","DE","16","2020-02-14"
"西班牙","ES","2","2020-02-14"
"芬兰","FI","1","2020-02-14"
"法国","FR","11","2020-02-14"
"英国","GB","9","2020-02-14"
"印度","IN","3","2020-02-14"
"意大利","IT","3","2020-02-14"
"日本","JP","253","2020-02-14"
"柬埔寨","KH","1","2020-02-14"
"韩国","KR","28","2020-02-14"
"斯里兰卡","LK","1","2020-02-14"
"马来西亚","MY","19","2020-02-14"
"尼泊尔","NP","1","2020-02-14"
"菲律宾","PH","3","2020-02-14"
"俄罗斯","RU","2","2020-02-14"
"瑞典","SE","1","2020-02-14"
"新加坡","SG","67","2020-02-14"
"泰国","TH","33","2020-02-14"
"美国","US","15","2020-02-14"
"越南","VN","16","2020-02-14"
"阿联酋","AE","8","2020-02-15"
"澳大利亚","AU","15","2020-02-15"
"比利时","BE","1","2020-02-15"
"加拿大","CA","8","2020-02-15"
"中国","CN","68584","2020-02-15"
"德国","DE","16","2020-02-15"
"埃及","EG","1","2020-02-15"
"西班牙","ES","2","2020-02-15"
"芬兰","FI","1","2020-02-15"
"法国","FR","11","2020-02-15"
"英国","GB","9","2020-02-15"
"印度","IN","3","2020-02-15"
"意大利","IT","3","2020-02-15"
"日本","JP","326","2020-02-15"
"柬埔寨","KH","1","2020-02-15"
"韩国","KR","28","2020-02-15"
"斯里兰卡","LK","1","2020-02-15"
"马来西亚","MY","21","2020-02-15"
"尼泊尔","NP","1","2020-02-15"
"菲律宾","PH","3","2020-02-15"
"俄罗斯","RU","2","2020-02-15"
"瑞典","SE","1","2020-02-15"
"新加坡","SG","67","2020-02-15"
"泰国","TH","33","2020-02-15"
"美国","US","15","2020-02-15"
"越南","VN","16","2020-02-15"
"阿联酋","AE","8","2020-02-16"
"澳大利亚","AU","15","2020-02-16"
"比利时","BE","1","2020-02-16"
"加拿大","CA","8","2020-02-16"
"中国","CN","70637","2020-02-16"
"德国","DE","16","2020-02-16"
"埃及","EG","1","2020-02-16"
"西班牙","ES","2","2020-02-16"
"芬兰","FI","1","2020-02-16"
"法国","FR","12","2020-02-16"
"英国","GB","9","2020-02-16"
"印度","IN","3","2020-02-16"
"意大利","IT","3","2020-02-16"
"日本","JP","413","2020-02-16"
"柬埔寨","KH","1","2020-02-16"
"韩国","KR","29","2020-02-16"
"斯里兰卡","LK","1","2020-02-16"
"马来西亚","MY","22","2020-02-16"
"尼泊尔","NP","1","2020-02-16"
"菲律宾","PH","3","2020-02-16"
"俄罗斯","RU","2","2020-02-16"
"瑞典","SE","1","2020-02-16"
"新加坡","SG","72","2020-02-16"
"泰国","TH","34","2020-02-16"
"美国","US","15","2020-02-16"
"越南","VN","16","2020-02-16"
"阿联酋","AE","9","2020-02-17"
"澳大利亚","AU","15","2020-02-17"
"比利时","BE","1","2020-02-17"
"加拿大","CA","8","2020-02-17"
"中国","CN","72528","2020-02-17"
"德国","DE","16","2020-02-17"
"埃及","EG","1","2020-02-17"
"西班牙","ES","2","2020-02-17"
"芬兰","FI","1","2020-02-17"
"法国","FR","12","2020-02-17"
"英国","GB","9","2020-02-17"
"印度","IN","3","2020-02-17"
"意大利","IT","3","2020-02-17"
"日本","JP","519","2020-02-17"
"柬埔寨","KH","1","2020-02-17"
"韩国","KR","30","2020-02-17"
"斯里兰卡","LK","1","2020-02-17"
"马来西亚","MY","22","2020-02-17"
"尼泊尔","NP","1","2020-02-17"
"菲律宾","PH","3","2020-02-17"
"俄罗斯","RU","2","2020-02-17"
"瑞典","SE","1","2020-02-17"
"新加坡","SG","77","2020-02-17"
"泰国","TH","35","2020-02-17"
"美国","US","15","2020-02-17"
"越南","VN","16","2020-02-17"
"阿联酋","AE","9","2020-02-18"
"澳大利亚","AU","15","2020-02-18"
"比利时","BE","1","2020-02-18"
"加拿大","CA","8","2020-02-18"
"中国","CN","74276","2020-02-18"
"德国","DE","16","2020-02-18"
"埃及","EG","1","2020-02-18"
"西班牙","ES","2","2020-02-18"
"芬兰","FI","1","2020-02-18"
"法国","FR","12","2020-02-18"
"英国","GB","9","2020-02-18"
"印度","IN","3","2020-02-18"
"意大利","IT","3","2020-02-18"
"日本","JP","616","2020-02-18"
"柬埔寨","KH","1","2020-02-18"
"韩国","KR","31","2020-02-18"
"斯里兰卡","LK","1","2020-02-18"
"马来西亚","MY","22","2020-02-18"
"尼泊尔","NP","1","2020-02-18"
"菲律宾","PH","3","2020-02-18"
"俄罗斯","RU","2","2020-02-18"
"瑞典","SE","1","2020-02-18"
"新加坡","SG","81","2020-02-18"
"泰国","TH","35","2020-02-18"
"美国","US","15","2020-02-18"
"越南","VN","16","2020-02-18"
"阿联酋","AE","9","2020-02-19"
"澳大利亚","AU","15","2020-02-19"
"比利时","BE","1","2020-02-19"
"加拿大","CA","8","2020-02-19"
"中国","CN","75101","2020-02-19"
"德国","DE","16","2020-02-19"
"埃及","EG","1","2020-02-19"
"西班牙","ES","2","2020-02-19"
"芬兰","FI","1","2020-02-19"
"法国","FR","12","2020-02-19"
"英国","GB","9","2020-02-19"
"印度","IN","3","2020-02-19"
"意大利","IT","3","2020-02-19"
"日本","JP","696","2020-02-19"
"柬埔寨","KH","1","2020-02-19"
"韩国","KR","51","2020-02-19"
"斯里兰卡","LK","1","2020-02-19"
"马来西亚","MY","22","2020-02-19"
"尼泊尔","NP","1","2020-02-19"
"菲律宾","PH","3","2020-02-19"
"俄罗斯","RU","2","2020-02-19"
"瑞典","SE","1","2020-02-19"
"新加坡","SG","84","2020-02-19"
"泰国","TH","35","2020-02-19"
"美国","US","15","2020-02-19"
"越南","VN","16","2020-02-19"
"阿联酋","AE","9","2020-02-20"
"澳大利亚","AU","15","2020-02-20"
"比利时","BE","1","2020-02-20"
"加拿大","CA","8","2020-02-20"
"中国","CN","75993","2020-02-20"
"德国","DE","16","2020-02-20"
"埃及","EG","1","2020-02-20"
"西班牙","ES","2","2020-02-20"
"芬兰","FI","1","2020-02-20"
"法国","FR","12","2020-02-20"
"英国","GB","9","2020-02-20"
"印度","IN","3","2020-02-20"
"伊朗","IR","5","2020-02-20"
"意大利","IT","3","2020-02-20"
"日本","JP","725","2020-02-20"
"柬埔寨","KH","1","2020-02-20"
"韩国","KR","104","2020-02-20"
"斯里兰卡","LK","1","2020-02-20"
"马来西亚","MY","22","2020-02-20"
"尼泊尔","NP","1","2020-02-20"
"菲律宾","PH","3","2020-02-20"
"俄罗斯","RU","2","2020-02-20"
"瑞典","SE","1","2020-02-20"
"新加坡","SG","85","2020-02-20"
"泰国","TH","35","2020-02-20"
"美国","US","15","2020-02-20"
"越南","VN","16","2020-02-20"
"阿联酋","AE","9","2020-02-21"
"澳大利亚","AU","15","2020-02-21"
"比利时","BE","1","2020-02-21"
"加拿大","CA","8","2020-02-21"
"中国","CN","76392","2020-02-21"
"德国","DE","16","2020-02-21"
"西班牙","ES","2","2020-02-21"
"芬兰","FI","1","2020-02-21"
"法国","FR","12","2020-02-21"
"英国","GB","9","2020-02-21"
"印度","IN","3","2020-02-21"
"伊朗","IR","18","2020-02-21"
"意大利","IT","3","2020-02-21"
"日本","JP","740","2020-02-21"
"柬埔寨","KH","1","2020-02-21"
"韩国","KR","204","2020-02-21"
"斯里兰卡","LK","1","2020-02-21"
"马来西亚","MY","22","2020-02-21"
"尼泊尔","NP","1","2020-02-21"
"菲律宾","PH","3","2020-02-21"
"俄罗斯","RU","2","2020-02-21"
"瑞典","SE","1","2020-02-21"
"新加坡","SG","85","2020-02-21"
"泰国","TH","35","2020-02-21"
"美国","US","15","2020-02-21"
"越南","VN","16","2020-02-21"
"阿联酋","AE","13","2020-02-22"
"澳大利亚","AU","15","2020-02-22"
"比利时","BE","1","2020-02-22"
